bin_number,bin_type,mode,material,thickness_m,thickness_mm,thickness_unit,copper_thickness_m,copper_thickness_mm
0,FW,shadowed,W,0.006,6.0,mm,0.002,2.0
0,FW,low_wetted,W,0.006,6.0,mm,0.002,2.0
0,FW,high_wetted,W,0.006,6.0,mm,0.002,2.0
1,FW,shadowed,W,0.006,6.0,mm,0.002,2.0
1,FW,low_wetted,W,0.006,6.0,mm,0.002,2.0
1,FW,high_wetted,W,0.006,6.0,mm,0.002,2.0
2,FW,shadowed,W,0.01,10.0,mm,0.004,4.0
2,FW,low_wetted,W,0.01,10.0,mm,0.004,4.0
2,FW,high_wetted,W,0.01,10.0,mm,0.004,4.0
3,FW,shadowed,W,0.01,10.0,mm,0.004,4.0
3,FW,low_wetted,W,0.01,10.0,mm,0.004,4.0
3,FW,high_wetted,W,0.01,10.0,mm,0.004,4.0
4,FW,shadowed,W,0.01,10.0,mm,0.004,4.0
4,FW,low_wetted,W,0.01,10.0,mm,0.004,4.0
4,FW,high_wetted,W,0.01,10.0,mm,0.004,4.0
5,FW,shadowed,W,0.012,12.0,mm,0.004,4.0
5,FW,low_wetted,W,0.012,12.0,mm,0.004,4.0
5,FW,high_wetted,W,0.012,12.0,mm,0.004,4.0
6,FW,shadowed,W,0.012,12.0,mm,0.005,5.0
6,FW,low_wetted,W,0.012,12.0,mm,0.005,5.0
6,FW,high_wetted,W,0.012,12.0,mm,0.005,5.0
7,FW,shadowed,W,0.012,12.0,mm,0.005,5.0
7,FW,low_wetted,W,0.012,12.0,mm,0.005,5.0
7,FW,high_wetted,W,0.012,12.0,mm,0.005,5.0
8,FW,shadowed,W,0.012,12.0,mm,0.005,5.0
8,FW,low_wetted,W,0.012,12.0,mm,0.005,5.0
8,FW,high_wetted,W,0.012,12.0,mm,0.005,5.0
9,FW,shadowed,W,0.012,12.0,mm,0.002,2.0
9,FW,low_wetted,W,0.012,12.0,mm,0.002,2.0
9,FW,high_wetted,W,0.012,12.0,mm,0.002,2.0
9,FW,shadowed,SS,0.005,5.0,mm,,
10,FW,shadowed,W,0.012,12.0,mm,,
10,FW,low_wetted,W,0.012,12.0,mm,,
10,FW,high_wetted,W,0.012,12.0,mm,0.002,2.0
11,FW,shadowed,W,0.012,12.0,mm,,
11,FW,low_wetted,W,0.012,12.0,mm,,
11,FW,high_wetted,W,0.012,12.0,mm,0.002,2.0
12,FW,shadowed,W,0.012,12.0,mm,,
12,FW,low_wetted,W,0.012,12.0,mm,,
12,FW,high_wetted,W,0.012,12.0,mm,0.004,4.0
13,FW,shadowed,W,0.006,6.0,mm,,
13,FW,wetted,W,0.006,6.0,mm,0.002,2.0
13,FW,shadowed,SS,0.005,5.0,mm,,
14,FW,shadowed,W,0.006,6.0,mm,,
14,FW,wetted,W,0.006,6.0,mm,0.002,2.0
14,FW,shadowed,SS,0.005,5.0,mm,,
15,FW,shadowed,B,0.006,6.0,mm,,
15,FW,low_wetted,W,0.006,6.0,mm,,
15,FW,high_wetted,W,0.006,6.0,mm,0.005,5.0
16,FW,shadowed,W,0.006,6.0,mm,,
16,FW,wetted,W,0.006,6.0,mm,0.005,5.0
17,FW,shadowed,W,0.012,12.0,mm,0.002,2.0
17,FW,wetted,W,0.012,12.0,mm,0.002,2.0
18,DIV,wetted,B,1e-06,0.001,mm,,
19,DIV,wetted,B,1e-06,0.001,mm,,
20,DIV,wetted,B,1e-06,0.001,mm,,
21,DIV,wetted,B,1e-06,0.001,mm,,
22,DIV,wetted,W,0.006,6.0,mm,,
23,DIV,wetted,W,0.006,6.0,mm,,
24,DIV,wetted,W,0.006,6.0,mm,,
25,DIV,wetted,W,0.006,6.0,mm,,
26,DIV,wetted,W,0.006,6.0,mm,,
27,DIV,wetted,W,0.006,6.0,mm,,
28,DIV,wetted,W,0.006,6.0,mm,,
29,DIV,wetted,W,0.006,6.0,mm,,
30,DIV,wetted,W,0.006,6.0,mm,,
31,DIV,wetted,W,0.006,6.0,mm,,
32,DIV,wetted,B,1e-06,0.001,mm,,
33,DIV,wetted,B,1e-06,0.001,mm,,
34,DIV,wetted,B,1e-06,0.001,mm,,
35,DIV,wetted,B,1e-06,0.001,mm,,
36,DIV,wetted,B,1e-06,0.001,mm,,
37,DIV,wetted,B,1e-06,0.001,mm,,
38,DIV,wetted,B,1e-06,0.001,mm,,
39,DIV,wetted,B,1e-06,0.001,mm,,
40,DIV,wetted,B,1e-06,0.001,mm,,
41,DIV,wetted,W,0.006,6.0,mm,,
42,DIV,wetted,W,0.006,6.0,mm,,
43,DIV,wetted,W,0.006,6.0,mm,,
44,DIV,wetted,W,0.006,6.0,mm,,
45,DIV,wetted,W,0.006,6.0,mm,,
46,DIV,wetted,W,0.006,6.0,mm,,
47,DIV,wetted,W,0.006,6.0,mm,,
48,DIV,wetted,W,0.006,6.0,mm,,
49,DIV,wetted,W,0.006,6.0,mm,,
50,DIV,wetted,W,0.006,6.0,mm,,
51,DIV,wetted,W,0.006,6.0,mm,,
52,DIV,wetted,W,0.006,6.0,mm,,
53,DIV,wetted,W,0.006,6.0,mm,,
54,DIV,wetted,W,0.006,6.0,mm,,
55,DIV,wetted,W,0.006,6.0,mm,,
56,DIV,wetted,W,0.006,6.0,mm,,
57,DIV,wetted,W,0.006,6.0,mm,,
58,DIV,wetted,W,0.006,6.0,mm,,
59,DIV,wetted,W,0.006,6.0,mm,,
60,DIV,wetted,W,0.006,6.0,mm,,
61,DIV,wetted,W,0.006,6.0,mm,,
